"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US170310632004","Block Group 4, Census Tract 632, Cook County, Illinois","81304","26385",
"1500000US170310632005","Block Group 5, Census Tract 632, Cook County, Illinois","62459","45791",
"1500000US170310632006","Block Group 6, Census Tract 632, Cook County, Illinois","63304","36566",
"1500000US170310633011","Block Group 1, Census Tract 633.01, Cook County, Illinois","55962","37835",
"1500000US170310633012","Block Group 2, Census Tract 633.01, Cook County, Illinois","67137","24870",
"1500000US170310633013","Block Group 3, Census Tract 633.01, Cook County, Illinois","60882","8193",
"1500000US170310633021","Block Group 1, Census Tract 633.02, Cook County, Illinois","108060","8809",
"1500000US170310633022","Block Group 2, Census Tract 633.02, Cook County, Illinois","77833","42929",
"1500000US170310633023","Block Group 3, Census Tract 633.02, Cook County, Illinois","105667","34146",
"1500000US170310633024","Block Group 4, Census Tract 633.02, Cook County, Illinois","62917","14490",
"1500000US170310633031","Block Group 1, Census Tract 633.03, Cook County, Illinois","53681","10105",
"1500000US170310633032","Block Group 2, Census Tract 633.03, Cook County, Illinois","109514","7116",
"1500000US170310634001","Block Group 1, Census Tract 634, Cook County, Illinois","126078","42173",
"1500000US170310634002","Block Group 2, Census Tract 634, Cook County, Illinois","86656","17612",
"1500000US170310701011","Block Group 1, Census Tract 701.01, Cook County, Illinois","91563","33611",
"1500000US170310701012","Block Group 2, Census Tract 701.01, Cook County, Illinois","81912","31125",
"1500000US170310701013","Block Group 3, Census Tract 701.01, Cook County, Illinois","67708","11260",
"1500000US170310701021","Block Group 1, Census Tract 701.02, Cook County, Illinois","83219","25709",
"1500000US170310701022","Block Group 2, Census Tract 701.02, Cook County, Illinois","105536","29862",
"1500000US170310701023","Block Group 3, Census Tract 701.02, Cook County, Illinois","54527","15524",
"1500000US170310701031","Block Group 1, Census Tract 701.03, Cook County, Illinois","71172","28634",
"1500000US170310701032","Block Group 2, Census Tract 701.03, Cook County, Illinois","62500","5610",
"1500000US170310702001","Block Group 1, Census Tract 702, Cook County, Illinois","104167","70410",
"1500000US170310702002","Block Group 2, Census Tract 702, Cook County, Illinois","114440","20847",
"1500000US170310702003","Block Group 3, Census Tract 702, Cook County, Illinois","78654","10900",
"1500000US170310703001","Block Group 1, Census Tract 703, Cook County, Illinois","190380","13388",
